rownames,site_id,site_name,location_type,latitude,longitude,parameter,Parameter_name,start_date,end_date,ratified_to,zone,agglomeration,local_authority
162,BEL3,Belfast South,Urban Background,54.59918,-5.912416,ETHANE,ethane,1993-08-01,2000-12-31,2000-12-31,Northern Ireland,Belfast Metropolitan Urban Area,Belfast
186,BEL1,Belfast Stockman's Lane,Urban Traffic,54.572586,-5.974944,NO,Nitric oxide,2014-06-07,ongoing,2023-12-31,Northern Ireland,Belfast Metropolitan Urban Area,Belfast
193,BIL,Billingham,Urban Industrial,54.60537,-1.275039,NO,Nitric oxide,1987-01-01,ongoing,2023-12-31,North East,Teesside Urban Area,Stockton-on-Tees
199,BIR,Bircotes,Urban Background,53.422855,-1.054946,SO2,Sulphur dioxide,1989-09-14,1991-03-11,1991-03-11,East Midlands,,Bassetlaw
200,BBRD,Birkenhead Borough Road,Urban Traffic,53.388624,-3.024942,NO,Nitric oxide,2016-08-18,ongoing,2023-12-31,North West & Merseyside,Birkenhead Urban Area,Wirral
206,BIRR,Birmingham A4540 Roadside,Urban Traffic,52.476145,-1.874978,O3,Ozone,2016-09-09,ongoing,2023-12-31,West Midlands,West Midlands Urban Area,Birmingham
219,AGRN,Birmingham Acocks Green,Urban Background,52.437165,-1.829999,O3,Ozone,2011-03-18,2021-10-01,2022-06-30,West Midlands,West Midlands Urban Area,Birmingham
231,BIRM,Birmingham Centre,Urban Background,52.479724,-1.908078,O3,Ozone,1992-03-18,2009-01-14,2009-01-14,West Midlands,West Midlands Urban Area,Birmingham
243,BIR2,Birmingham East,Urban Background,52.49763,-1.831498,O3,Ozone,1993-12-01,2004-08-04,2004-08-04,West Midlands,West Midlands Urban Area,Birmingham
274,BHAM,Birmingham Kerbside,Urban Traffic,52.328057,-1.907512,CO,Carbon monoxide,1974-03-13,1978-01-17,1978-01-17,West Midlands,,Bromsgrove
275,BMLD,Birmingham Ladywood,Urban Background,52.481346,-1.918235,O3,Ozone,2019-10-09,ongoing,2023-12-31,West Midlands,West Midlands Urban Area,Birmingham
289,BIR1,Birmingham Tyburn,Urban Background,52.511722,-1.830583,O3,Ozone,2004-08-16,2016-12-31,2016-12-31,West Midlands,West Midlands Urban Area,Birmingham
304,BIRT,Birmingham Tyburn Roadside,Urban Traffic,52.512194,-1.830861,O3,Ozone,2009-02-11,2016-09-07,2016-09-07,West Midlands,West Midlands Urban Area,Birmingham
317,BLAR,Blackburn Accrington Road,Urban Traffic,53.747763,-2.45268,NO,Nitric oxide,2014-05-12,ongoing,2023-12-31,North West & Merseyside,,Blackburn with Darwen
323,BLAP,Blackburn Audley Park,Urban Background,53.74673,-2.467873,O3,Ozone,2023-09-01,ongoing,2023-12-31,North West & Merseyside,,Blackburn with Darwen
329,BLCB,Blackburn Darwen Roadside,Urban Traffic,53.715504,-2.483815,NO,Nitric oxide,2009-06-15,2014-03-17,2014-03-17,North West & Merseyside,,Blackburn with Darwen
335,BLAC,Blackpool,Urban Background,53.79046,-3.029283,O3,Ozone,2000-08-08,2004-11-11,2004-11-11,North West & Merseyside,Blackpool Urban Area,Blackpool
342,BLC2,Blackpool Marton,Urban Background,53.80489,-3.007175,O3,Ozone,2005-06-14,ongoing,2023-12-31,North West & Merseyside,Blackpool Urban Area,Blackpool
357,BOLT,Bolton,Urban Background,53.57232,-2.439583,O3,Ozone,1997-02-03,2008-06-30,2008-06-30,North West & Merseyside,Greater Manchester Urban Area,Bolton
364,BDMP,Borehamwood Meadow Park,Urban Background,51.662332,-0.270001,NO,Nitric oxide,2017-10-01,ongoing,2023-12-31,Eastern,,Hertsmere
372,BOT,Bottesford,Rural Background,52.93028,-0.814722,O3,Ozone,1977-10-01,2016-10-17,2016-10-17,East Midlands,,Melton
376,BORN,Bournemouth,Urban Background,50.73957,-1.826744,O3,Ozone,2003-02-27,ongoing,2023-12-31,South West,Bournemouth Urban Area,Bournemouth
388,BRAD,Bradford Centre,Urban Background,53.79339,-1.748694,O3,Ozone,1997-11-28,2007-09-30,2007-09-30,Yorkshire & Humberside,West Yorkshire Urban Area,Bradford
395,BDMA,Bradford Mayo Avenue,Urban Traffic,53.771245,-1.759774,NO,Nitric oxide,2015-04-24,ongoing,2023-12-31,Yorkshire & Humberside,West Yorkshire Urban Area,Bradford
401,BRN,Brentford Roadside,Urban Traffic,51.489448,-0.310121,NO,Nitric oxide,2003-06-20,2007-09-30,2007-09-30,Greater London,Greater London Urban Area,Hounslow
405,BRT3,Brighton Preston Park,Urban Background,50.840836,-0.147572,O3,Ozone,2004-11-03,ongoing,2023-12-31,South East,Brighton/Worthing/Littlehampton,Brighton and Hove
414,BRIT,Brighton Roadside,Urban Traffic,50.82354,-0.137281,NO,Nitric oxide,1998-02-10,2010-12-31,2010-12-31,South East,Brighton/Worthing/Littlehampton,Brighton and Hove
421,BRT2,Brighton Roadside PM10,Urban Traffic,50.8235,-0.136924,GR10,PM10 particulate matter (Daily measured),2003-02-28,2008-05-29,2008-05-29,South East,Brighton/Worthing/Littlehampton,Brighton and Hove
422,BRIS,Bristol Centre,Urban Background,51.45718,-2.585622,O3,Ozone,1993-01-04,2005-09-15,2005-09-15,South West,Bristol Urban Area,"Bristol, City of"
429,BRS,Bristol East,Urban Background,51.45365,-2.578496,ETHANE,ethane,1994-05-01,2000-12-31,2000-12-31,South West,Bristol Urban Area,"Bristol, City of"
453,BRS2,Bristol Old Market,Urban Traffic,51.45603,-2.583519,NO,Nitric oxide,1996-07-01,2012-08-31,2012-08-31,South West,Bristol Urban Area,"Bristol, City of"
460,BRS8,Bristol St Paul's,Urban Background,51.462839,-2.584482,O3,Ozone,2006-06-15,ongoing,2023-12-31,South West,Bristol Urban Area,"Bristol, City of"
475,BR11,Bristol Temple Way,Urban Traffic,51.457968,-2.583975,NO,Nitric oxide,2017-04-01,ongoing,2023-12-31,South West,Bristol Urban Area,"Bristol, City of"
482,BY1,Bromley Roadside,Urban Traffic,51.4071,0.020128,NO,Nitric oxide,1997-05-02,1998-07-06,1998-07-06,Greater London,Greater London Urban Area,Bromley
486,BOTR,Burton-on-Trent Horninglow,Urban Background,52.82105,-1.635718,O3,Ozone,2023-02-22,ongoing,2023-12-31,West Midlands,,East Staffordshire
495,BURY,Bury Roadside,Urban Traffic,53.53911,-2.289611,O3,Ozone,1997-01-20,2007-09-30,2007-09-30,North West & Merseyside,Greater Manchester Urban Area,Bury
510,BURW,Bury Whitefield Roadside,Urban Traffic,53.559029,-2.293772,NO,Nitric oxide,2015-04-01,ongoing,2023-12-31,North West & Merseyside,Greater Manchester Urban Area,Bury
519,BUSH,Bush Estate,Rural Background,55.862281,-3.205782,O3,Ozone,1986-04-01,ongoing,2023-12-31,Central Scotland,,Midlothian
526,CAMB,Cambridge,Urban Traffic,51.995804,0.037756,CO,Carbon monoxide,1974-11-01,1978-03-01,1978-03-01,Eastern,,North Hertfordshire
527,CAM,Cambridge Roadside,Urban Traffic,52.20237,0.124456,NO,Nitric oxide,1999-06-26,ongoing,2023-12-31,Eastern,,Cambridge
533,CA1,Camden Kerbside,Urban Traffic,51.54421,-0.175269,NO,Nitric oxide,1996-05-16,ongoing,2023-12-31,Greater London,Greater London Urban Area,Camden
545,CANK,Cannock A5190 Roadside,Urban Traffic,52.687298,-1.980821,NO,Nitric oxide,2016-08-10,ongoing,2023-12-31,West Midlands,,Cannock Chase
551,CANT,Canterbury,Urban Background,51.27399,1.098061,O3,Ozone,2011-03-15,ongoing,2023-12-31,South East,,Canterbury
560,CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,O3,Ozone,1992-05-12,ongoing,2023-12-31,South Wales,Cardiff Urban Area,Cardiff
581,CAR2,Cardiff East,Urban Background,51.48887,-3.163711,ETHANE,ethane,1994-01-01,2001-12-31,2001-12-31,South Wales,Cardiff Urban Area,Cardiff
605,CAR,Cardiff Kerbside,Urban Traffic,51.482431,-3.17794,O3,Ozone,1974-06-02,1974-12-13,1974-12-13,South Wales,Cardiff Urban Area,Cardiff
607,CNPR,Cardiff Newport Road,Urban Traffic,51.49096,-3.152305,NO,Nitric oxide,2018-04-01,ongoing,2023-12-31,South Wales,Cardiff Urban Area,Cardiff
614,CARM,Carlisle Morton A595,Urban Traffic,54.885823,-2.964955,NO,Nitric oxide,2021-10-01,ongoing,2023-12-31,North West & Merseyside,,Carlisle
622,CARL,Carlisle Roadside,Urban Traffic,54.894834,-2.945307,NO,Nitric oxide,2008-02-14,2021-06-21,2021-06-21,North West & Merseyside,,Carlisle
634,CLL,Central London,Urban Background,51.494722,-0.138333,O3,Ozone,1972-07-01,1990-08-20,1990-08-20,Greater London,Greater London Urban Area,Westminster
640,MACK,Charlton Mackrell,Rural Background,51.05625,-2.68345,O3,Ozone,2008-09-03,ongoing,2023-12-31,South West,,South Somerset
649,CHAT,Chatham Roadside,Urban Traffic,51.374264,0.54797,NO,Nitric oxide,2010-07-01,ongoing,2023-12-31,South East,,Medway
661,CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,NO,Nitric oxide,2008-01-01,ongoing,2023-12-31,South Wales,,Monmouthshire
673,CHS6,Chesterfield,Urban Background,53.230583,-1.433611,NO,Nitric oxide,2008-03-13,2014-05-20,2014-05-20,East Midlands,,Chesterfield
685,CHLG,Chesterfield Loundsley Green,Urban Background,53.244131,-1.454946,O3,Ozone,2023-02-09,ongoing,2023-12-31,East Midlands,,Chesterfield
698,CHS7,Chesterfield Roadside,Urban Traffic,53.231751,-1.456928,NO,Nitric oxide,2008-03-11,ongoing,2023-12-31,East Midlands,,Chesterfield
710,CHBO,Chilbolton Observatory,Rural Background,51.149617,-1.438228,O3,Ozone,2016-01-11,ongoing,2023-12-31,South East,,Test Valley
755,CHIL,Chilworth,Suburban Background,50.962706,-1.424677,O3,Ozone,1975-04-18,1975-10-10,1975-10-10,South East,,Test Valley
756,CHBR,Christchurch Barrack Road,Urban Traffic,50.735454,-1.780888,NO,Nitric oxide,2016-09-01,ongoing,2023-12-31,South West,Bournemouth Urban Area,Christchurch
763,COAL,Coventry Allesley,Urban Background,52.411628,-1.560189,O3,Ozone,2014-06-17,ongoing,2023-12-31,West Midlands,Coventry/Bedworth,Coventry
774,COBR,Coventry Binley Road,Urban Traffic,52.407708,-1.490082,NO,Nitric oxide,2017-04-01,ongoing,2023-12-31,West Midlands,Coventry/Bedworth,Coventry
783,COV2,Coventry Centre,Urban Background,52.41345,-1.522133,O3,Ozone,1997-02-18,2000-12-31,2000-12-31,West Midlands,Coventry/Bedworth,Coventry
789,COV3,Coventry Memorial Park,Urban Background,52.394399,-1.519612,O3,Ozone,2001-02-26,2014-06-10,2014-06-10,West Midlands,Coventry/Bedworth,Coventry
804,COPP,Crewe Coppenhall,Urban Background,53.115941,-2.453492,O3,Ozone,2023-01-24,ongoing,2023-12-31,North West & Merseyside,,Cheshire East
813,CWMB,Cwmbran,Urban Background,51.6538,-3.006953,O3,Ozone,2003-04-29,2020-08-07,2020-08-07,South Wales,,Torfaen
823,CWMC,Cwmbran Crownbridge,Urban Background,51.653819,-3.00637,O3,Ozone,2020-10-01,ongoing,2023-12-31,South Wales,,Torfaen
830,DESA,Derby St Alkmund's Way,Urban Traffic,52.922983,-1.469507,NO,Nitric oxide,2017-01-01,ongoing,2023-12-31,East Midlands,,Derby
836,DESB,Derby Stockbrook Park,Urban Background,52.916059,-1.492166,O3,Ozone,2023-11-24,ongoing,2023-12-31,East Midlands,,Derby
842,DERY,Derry,Urban Background,55.001225,-7.329115,O3,Ozone,1997-04-29,2016-02-29,2016-02-29,Northern Ireland,,Derry and Strabane
857,DERR,Derry Rosemount,Urban Background,55.002818,-7.331179,O3,Ozone,2016-03-21,ongoing,2023-12-31,Northern Ireland,,Derry and Strabane
871,DYAG,Dewsbury Ashworth Grange,Urban Background,53.693104,-1.637111,O3,Ozone,2023-02-27,ongoing,2023-12-31,Yorkshire & Humberside,West Yorkshire Urban Area,Kirklees
880,DCST,Doncaster A630 Cleveland Street,Urban Traffic,53.518383,-1.13806,NO,Nitric oxide,2015-05-07,ongoing,2023-12-31,Yorkshire & Humberside,,Doncaster
886,DUMB,Dumbarton Roadside,Urban Traffic,55.943197,-4.55973,NO,Nitric oxide,2010-09-01,ongoing,2023-12-31,Central Scotland,,West Dunbartonshire
892,DUMF,Dumfries,Urban Traffic,55.070033,-3.614233,NO,Nitric oxide,2001-03-01,ongoing,2023-12-31,Scottish Borders,,Dumfries and Galloway
900,DCC1,Dundee Mains Loan,Urban Background,56.475434,-2.959861,NO,Nitric oxide,2017-10-01,ongoing,2023-12-31,North East Scotland,,Dundee City
906,EA8,Ealing Horn Lane,Urban Traffic,51.51895,-0.265617,PM10,PM10 particulate matter (Hourly measured),2014-05-21,ongoing,2023-12-31,Greater London,Greater London Urban Area,Ealing
912,EK,East Kilbride,Suburban Background,55.754737,-4.171789,O3,Ozone,1975-05-08,1975-10-09,1975-10-09,Central Scotland,,South Lanarkshire
913,EB,Eastbourne,Urban Background,50.805778,0.271611,O3,Ozone,2023-12-01,ongoing,2023-12-31,South East,,Eastbourne
926,ED,Edinburgh Centre,Urban Background,55.95197,-3.195775,O3,Ozone,1992-10-04,2003-10-13,2003-10-13,Central Scotland,Edinburgh Urban Area,"Edinburgh, City of"
933,ED2,Edinburgh Med. Sch.,Urban Background,55.94427,-3.191183,ETHANE,ethane,1993-05-13,2001-12-31,2001-12-31,Central Scotland,Edinburgh Urban Area,"Edinburgh, City of"
957,EDNS,Edinburgh Nicolson Street,Urban Traffic,55.94476,-3.183991,NO,Nitric oxide,2017-12-01,ongoing,2023-12-31,Central Scotland,Edinburgh Urban Area,"Edinburgh, City of"
963,ED3,Edinburgh St Leonards,Urban Background,55.945589,-3.182186,O3,Ozone,2003-11-24,ongoing,2023-12-31,Central Scotland,Edinburgh Urban Area,"Edinburgh, City of"
978,ESK,Eskdalemuir,Rural Background,55.31531,-3.206111,O3,Ozone,1986-04-23,ongoing,2023-12-31,Scottish Borders,,Dumfries and Galloway
985,EX,Exeter Roadside,Urban Traffic,50.725083,-3.532465,O3,Ozone,1996-07-02,ongoing,2024-03-31,South West,,Exeter
994,FEA,Featherstone,Urban Background,53.670222,-1.352146,SO2,Sulphur dioxide,1989-09-14,1991-03-13,1991-03-13,Yorkshire & Humberside,,Wakefield
995,FW,Fort William,Suburban Background,56.82266,-5.101102,O3,Ozone,2006-06-22,ongoing,2023-12-31,Highland,,Highland
1002,GLA3,Glasgow Centre,Urban Background,55.85773,-4.255161,O3,Ozone,1996-07-26,2012-08-16,2012-08-16,Central Scotland,Glasgow Urban Area,Glasgow City
1017,GLA,Glasgow City Chambers,Urban Background,55.860414,-4.245959,NO,Nitric oxide,1987-01-06,2011-03-16,2011-03-16,Central Scotland,Glasgow Urban Area,Glasgow City
1024,GGWR,Glasgow Great Western Road,Urban Traffic,55.872038,-4.270936,NO,Nitric oxide,2014-06-05,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,Glasgow City
1030,GHSR,Glasgow High Street,Urban Traffic,55.860936,-4.238214,NO,Nitric oxide,2015-01-27,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,Glasgow City
1042,GLAS,Glasgow Hope St,Urban Traffic,55.858317,-4.259062,NO,Nitric oxide,1979-01-01,1982-10-21,1982-10-21,Central Scotland,Glasgow Urban Area,Glasgow City
1047,GLA4,Glasgow Kerbside,Urban Traffic,55.85894,-4.259122,NO,Nitric oxide,1997-03-10,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,Glasgow City
1066,GLKP,Glasgow Townhead,Urban Background,55.865782,-4.243631,O3,Ozone,2013-10-07,ongoing,2023-12-31,Central Scotland,Glasgow Urban Area,Glasgow City
1079,GLAZ,Glazebury,Rural Background,53.46008,-2.472056,O3,Ozone,1988-04-01,ongoing,2023-12-31,North West & Merseyside,,Salford
1088,GRAN,Grangemouth,Urban Industrial,56.010319,-3.704399,NO,Nitric oxide,2001-01-01,ongoing,2023-12-31,Central Scotland,,Falkirk
1102,GRA2,Grangemouth Moray,Urban Industrial,56.013142,-3.710833,NO,Nitric oxide,2009-06-01,ongoing,2023-12-31,Central Scotland,,Falkirk
1108,GDF,Great Dun Fell,Rural Background,54.684233,-2.450799,O3,Ozone,1986-05-09,2016-10-18,2016-10-18,North West & Merseyside,,Eden
1112,GKA8,Greenock A8 Roadside,Urban Traffic,55.944079,-4.734421,NO,Nitric oxide,2016-05-04,ongoing,2023-12-31,Central Scotland,,Inverclyde
1120,CAEB,Hafod-yr-ynys Hill Roadside,Urban Traffic,51.680493,-3.134325,NO,Nitric oxide,2023-10-01,ongoing,2023-12-31,South Wales,,Caerphilly
1126,CAE6,Hafod-yr-ynys Roadside,Urban Traffic,51.680579,-3.133508,NO,Nitric oxide,2014-10-14,2023-09-15,2023-09-15,South Wales,,Caerphilly
1132,HG1,Haringey Roadside,Urban Traffic,51.5993,-0.068218,NO,Nitric oxide,1996-05-16,ongoing,2023-12-31,Greater London,Greater London Urban Area,Haringey
1144,HSAW,Hartlepool St Abbs Walk,Urban Background,54.683242,-1.203838,O3,Ozone,2023-03-07,ongoing,2023-12-31,North East,,Hartlepool
1153,HAR,Harwell,Rural Background,51.571078,-1.325283,O3,Ozone,1976-06-22,2015-12-31,2015-12-31,South East,,Vale of White Horse
1200,HM,High Muffles,Rural Background,54.334497,-0.80882,O3,Ozone,1987-07-16,ongoing,2023-12-31,Yorkshire & Humberside,,Ryedale
1209,HONI,Honiton,Urban Background,50.792287,-3.196702,O3,Ozone,2023-05-01,ongoing,2023-12-31,South West,,East Devon
1218,HORE,Horley,Suburban Industrial,51.165865,-0.167734,NO,Nitric oxide,2007-11-21,ongoing,2023-12-31,South East,,Reigate and Banstead
1224,HS1,Hounslow Roadside,Urban Traffic,51.48965,-0.308975,NO,Nitric oxide,1997-09-16,2002-11-16,2002-11-16,Greater London,Greater London Urban Area,Hounslow
1228,HOVE,Hove Roadside,Urban Traffic,50.82778,-0.170294,NO,Nitric oxide,1997-09-16,2007-09-30,2007-09-30,South East,Brighton/Worthing/Littlehampton,Brighton and Hove
1233,HULL,Hull Centre,Urban Background,53.74479,-0.338322,O3,Ozone,1994-01-04,2002-01-17,2002-01-17,Yorkshire & Humberside,Kingston upon Hull,"Kingston upon Hull, City of"
1240,HUL2,Hull Freetown,Urban Background,53.74878,-0.341222,O3,Ozone,2002-11-06,ongoing,2023-12-31,Yorkshire & Humberside,Kingston upon Hull,"Kingston upon Hull, City of"
1255,HULR,Hull Holderness Road,Urban Traffic,53.759013,-0.305678,NO,Nitric oxide,2015-01-01,ongoing,2023-12-31,Yorkshire & Humberside,Kingston upon Hull,"Kingston upon Hull, City of"
1264,IMGM,Immingham Woodlands Avenue,Urban Background,53.619241,-0.213324,O3,Ozone,2023-02-08,ongoing,2023-12-31,Yorkshire & Humberside,,North East Lincolnshire
1273,INV2,Inverness,Urban Traffic,57.481308,-4.241451,NO,Nitric oxide,2001-07-17,ongoing,2023-12-31,Highland,,Highland
1284,LB,Ladybower,Rural Background,53.40337,-1.752006,O3,Ozone,1988-07-15,ongoing,2023-12-31,East Midlands,,High Peak
1292,LEAM,Leamington Spa,Urban Background,52.28881,-1.533119,O3,Ozone,1996-07-26,ongoing,2023-12-31,West Midlands,,Warwick
1307,LEAR,Leamington Spa Rugby Road,Urban Traffic,52.294884,-1.542911,NO,Nitric oxide,2012-06-01,ongoing,2023-12-31,West Midlands,,Warwick
1319,LEED,Leeds Centre,Urban Background,53.80378,-1.546472,O3,Ozone,1993-01-04,ongoing,2023-12-31,Yorkshire & Humberside,West Yorkshire Urban Area,Leeds
1334,LED6,Leeds Headingley Kerbside,Urban Traffic,53.819972,-1.576361,NO,Nitric oxide,2008-02-17,ongoing,2023-12-31,Yorkshire & Humberside,West Yorkshire Urban Area,Leeds
1346,LDS,Leeds Potternewton,Urban Background,53.82568,-1.535098,ETHANE,ethane,1995-01-01,2000-12-31,2000-12-31,Yorkshire & Humberside,West Yorkshire Urban Area,Leeds
1370,LEIR,Leicester A594 Roadside,Urban Traffic,52.638742,-1.124267,NO,Nitric oxide,2015-06-01,ongoing,2023-12-31,East Midlands,Leicester Urban Area,Leicester
1379,LEIC,Leicester Centre,Urban Background,52.631348,-1.133006,O3,Ozone,1994-01-04,2013-09-23,2013-09-23,East Midlands,Leicester Urban Area,Leicester
1394,LECU,Leicester University,Urban Background,52.619904,-1.127182,O3,Ozone,2013-10-01,ongoing,2023-12-31,East Midlands,Leicester Urban Area,Leicester
1405,LEOM,Leominster,Suburban Background,52.221593,-2.73684,O3,Ozone,2005-07-18,ongoing,2023-12-31,West Midlands,,"Herefordshire, County of"
1413,LERW,Lerwick,Rural Background,60.13922,-1.185319,O3,Ozone,2005-05-25,ongoing,2023-12-31,Highland,,Shetland Islands
1417,LIN3,Lincoln Canwick Road,Urban Traffic,53.221432,-0.534204,NO,Nitric oxide,2011-07-27,ongoing,2023-12-31,East Midlands,,Lincoln
1423,LINC,Lincoln Roadside,Urban Traffic,53.22889,-0.537895,NO,Nitric oxide,1997-05-06,1999-12-22,1999-12-22,East Midlands,,Lincoln
1426,LIVR,Liverpool Centre,Urban Background,53.40845,-2.980249,O3,Ozone,1993-04-23,2002-09-23,2002-09-23,North West & Merseyside,Liverpool Urban Area,Liverpool
1433,LV6,Liverpool Queen's Drive Roadside,Urban Traffic,53.446944,-2.9625,NO,Nitric oxide,2008-01-01,2016-11-07,2016-11-07,North West & Merseyside,Liverpool Urban Area,Liverpool
1439,LVP,Liverpool Speke,Urban Industrial,53.34633,-2.844333,O3,Ozone,2003-05-21,ongoing,2023-12-31,North West & Merseyside,Liverpool Urban Area,Liverpool
1478,A3,London A3 Roadside,Urban Traffic,51.37348,-0.291853,NO,Nitric oxide,1997-03-20,2007-09-30,2007-09-30,Greater London,Greater London Urban Area,Kingston upon Thames
1483,BEX,London Bexley,Suburban Background,51.46603,0.184806,O3,Ozone,1994-05-01,2007-09-30,2007-09-30,Greater London,Greater London Urban Area,Bexley
1496,CLL2,London Bloomsbury,Urban Background,51.52229,-0.125889,O3,Ozone,1992-01-23,ongoing,2023-12-31,Greater London,Greater London Urban Area,Camden
1511,BREN,London Brent,Urban Background,51.589769,-0.276223,O3,Ozone,1996-01-26,2007-09-30,2007-09-30,Greater London,Greater London Urban Area,Brent
1518,BRI,London Bridge Place,Urban Background,51.49521,-0.141655,O3,Ozone,1990-07-03,1999-11-30,1999-11-30,Greater London,Greater London Urban Area,Westminster
1524,BY2,London Bromley,Urban Traffic,51.40555,0.018869,NO,Nitric oxide,1998-08-11,2007-09-30,2007-09-30,Greater London,Greater London Urban Area,Bromley
1528,CAN,London Canvey,Urban Industrial,51.53308,0.567837,O3,Ozone,1977-05-10,1980-10-01,1980-10-01,Eastern,,Castle Point
1533,CRD,London Cromwell Road,Urban Traffic,51.49492,-0.180564,O3,Ozone,1973-02-22,1974-07-11,1974-07-11,Greater London,Greater London Urban Area,Kensington and Chelsea
1539,CRD2,London Cromwell Road 2,Urban Traffic,51.495483,-0.178709,NO,Nitric oxide,1998-05-20,2012-09-30,2012-09-30,Greater London,Greater London Urban Area,Kensington and Chelsea
1547,LON6,London Eltham,Suburban Background,51.45258,0.070766,O3,Ozone,1996-04-01,ongoing,2023-12-31,Greater London,Greater London Urban Area,Greenwich
1591,HK4,London Hackney,Urban Background,51.55877,-0.056592,O3,Ozone,1997-01-06,2007-09-30,2007-09-30,Greater London,Greater London Urban Area,Hackney
1596,HG2,London Haringey,Urban Background,51.58603,-0.126486,O3,Ozone,1996-05-16,2012-10-24,2012-10-24,Greater London,Greater London Urban Area,Haringey
1603,HG4,London Haringey Priory Park South,Urban Background,51.584128,-0.125254,O3,Ozone,2012-10-26,ongoing,2023-12-31,Greater London,Greater London Urban Area,Haringey
1610,HRL,London Harlington,Urban Industrial,51.48879,-0.441614,O3,Ozone,2004-01-01,ongoing,2023-12-31,Greater London,Greater London Urban Area,Hillingdon
1624,HARR,London Harrow,Suburban Background,51.57389,-0.352051,O3,Ozone,1979-08-17,1980-08-28,1980-08-28,Greater London,Greater London Urban Area,Harrow
1630,HR3,London Harrow Stanmore,Urban Background,51.617333,-0.298777,PM2.5,PM2.5 particulate matter (Hourly measured),2008-12-16,2017-04-28,2017-06-30,Greater London,Greater London Urban Area,Harrow
1636,HIL,London Hillingdon,Urban Background,51.49633,-0.460861,O3,Ozone,1996-08-02,ongoing,2023-12-31,Greater London,Greater London Urban Area,Hillingdon
1647,HP1,London Honor Oak Park,Urban Background,51.449674,-0.037418,PM10,PM10 particulate matter (Hourly measured),2019-01-01,ongoing,2023-12-31,Greater London,Greater London Urban Area,Lewisham
